city,date,weather_code,temperature_2m_max,temperature_2m_min,wind_speed_10m_max,wind_gusts_10m_max,precipitation_sum,precipitation_probability_max,risk_score,risk_level
Qasbat Tadla,2026-09-18,3,34.5,17.9,17.4,34.9,0.0,0,0,Low
Qasbat Tadla,2026-09-19,3,37.1,20.3,14.0,26.3,0.0,0,20,Low
Qasbat Tadla,2026-09-20,3,38.8,23.8,25.5,47.2,0.0,3,20,Low
Qasbat Tadla,2026-09-21,3,37.0,21.1,15.5,31.0,0.0,3,20,Low
Qasbat Tadla,2026-09-22,2,36.8,20.5,10.7,21.2,0.0,3,20,Low
Qasbat Tadla,2026-09-23,0,37.9,15.7,7.6,15.5,0.0,3,20,Low
Qasbat Tadla,2026-09-24,3,38.2,14.7,12.2,22.7,0.0,3,20,Low
Aziylal,2026-09-18,3,27.7,16.5,17.7,38.9,0.0,3,0,Low
Aziylal,2026-09-19,80,29.4,19.4,18.7,43.6,0.4,25,15,Low
Aziylal,2026-09-20,3,30.2,21.1,16.4,44.6,0.2,30,15,Low
Aziylal,2026-09-21,80,28.9,19.6,20.6,43.9,0.6000000000000001,20,15,Low
Aziylal,2026-09-22,2,28.9,17.8,18.5,38.9,0.0,10,15,Low
Aziylal,2026-09-23,0,30.3,17.2,17.6,36.7,0.0,5,0,Low
Aziylal,2026-09-24,0,30.6,17.8,20.1,41.8,0.0,9,0,Low
Boujad,2026-09-18,3,32.9,17.1,21.1,38.9,0.0,0,0,Low
Boujad,2026-09-19,2,35.7,21.2,16.8,34.6,0.0,0,20,Low
Boujad,2026-09-20,3,36.9,23.3,25.3,49.7,0.0,3,20,Low
Boujad,2026-09-21,3,35.1,22.0,18.2,33.1,0.0,3,20,Low
Boujad,2026-09-22,2,35.1,21.1,13.2,33.1,0.0,3,20,Low
Boujad,2026-09-23,0,35.5,20.6,13.2,36.4,0.0,3,20,Low
Boujad,2026-09-24,2,35.7,20.3,14.5,33.5,0.0,3,20,Low
Al Aaroui,2026-09-18,3,26.8,18.0,24.7,43.9,0.0,0,0,Low
Al Aaroui,2026-09-19,45,26.6,20.9,28.6,50.4,0.0,5,0,Low
Al Aaroui,2026-09-20,3,27.0,22.5,28.8,50.4,0.0,3,0,Low
Al Aaroui,2026-09-21,45,26.7,20.5,23.7,41.8,0.0,3,0,Low
Al Aaroui,2026-09-22,45,28.2,16.3,14.5,25.6,0.0,0,0,Low
Al Aaroui,2026-09-23,1,29.0,16.4,16.3,31.3,0.0,0,0,Low
Al Aaroui,2026-09-24,1,29.4,16.7,15.0,27.0,0.0,0,0,Low
Mrirt,2026-09-18,3,30.6,14.4,19.5,43.6,0.0,0,0,Low
Mrirt,2026-09-19,3,32.8,17.4,15.1,35.6,0.2,15,15,Low
Mrirt,2026-09-20,3,33.2,18.5,21.1,44.6,0.0,1,0,Low
Mrirt,2026-09-21,3,32.8,18.5,21.7,48.2,0.0,3,0,Low
Mrirt,2026-09-22,2,31.8,16.9,18.8,38.2,0.0,3,0,Low
Mrirt,2026-09-23,0,33.1,15.6,15.9,37.1,0.0,5,0,Low
Mrirt,2026-09-24,2,33.9,15.6,15.5,39.2,0.0,5,0,Low
Tineghir,2026-09-18,3,30.4,18.3,21.4,35.6,0.1,38,15,Low
Tineghir,2026-09-19,61,28.7,19.5,21.5,34.2,0.30000000000000004,42,15,Low
Tineghir,2026-09-20,95,29.2,18.2,18.9,28.4,2.2,40,15,Low
Tineghir,2026-09-21,2,31.3,19.3,21.3,35.6,0.0,40,15,Low
Tineghir,2026-09-22,1,32.2,18.4,25.0,38.6,0.0,19,15,Low
Tineghir,2026-09-23,1,30.0,18.3,17.4,29.5,0.0,23,15,Low
Tineghir,2026-09-24,2,30.2,17.8,19.8,29.9,0.0,25,15,Low
Bouknadel,2026-09-18,45,25.0,17.0,18.6,32.0,0.0,0,0,Low
Bouknadel,2026-09-19,1,29.2,18.0,17.0,29.5,0.0,0,0,Low
Bouknadel,2026-09-20,2,31.2,20.7,12.4,22.7,0.0,0,0,Low
Bouknadel,2026-09-21,1,29.1,21.1,13.6,24.1,0.0,0,0,Low
Bouknadel,2026-09-22,0,27.7,20.2,10.7,19.8,0.0,0,0,Low
Bouknadel,2026-09-23,0,31.3,17.3,12.7,29.5,0.0,0,0,Low
Bouknadel,2026-09-24,1,29.0,18.4,10.5,25.2,0.0,0,0,Low
Cabo Bojador,2026-09-18,3,24.8,19.8,24.1,46.1,0.0,0,0,Low
Cabo Bojador,2026-09-19,3,25.0,18.9,22.1,42.8,0.0,0,0,Low
Cabo Bojador,2026-09-20,1,26.7,19.1,26.8,48.6,0.0,0,0,Low
Cabo Bojador,2026-09-21,2,26.0,20.0,26.4,49.3,0.0,0,0,Low
Cabo Bojador,2026-09-22,3,26.2,20.4,28.2,52.2,0.0,0,0,Low
Cabo Bojador,2026-09-23,1,26.1,20.4,28.6,50.0,0.0,6,0,Low
Cabo Bojador,2026-09-24,3,28.4,20.8,28.1,46.1,0.0,4,0,Low
Zagora,2026-09-18,3,35.9,25.6,19.1,31.0,0.0,5,20,Low
Zagora,2026-09-19,3,35.3,25.8,24.3,38.5,0.0,3,20,Low
Zagora,2026-09-20,3,35.1,24.5,28.8,48.2,0.0,3,20,Low
Zagora,2026-09-21,3,35.4,24.9,9.3,16.2,0.6000000000000001,13,35,Medium
Zagora,2026-09-22,2,35.8,25.8,12.8,20.2,0.0,5,20,Low
Zagora,2026-09-23,2,33.7,25.1,12.4,19.8,0.0,5,0,Low
Zagora,2026-09-24,2,34.4,23.2,16.2,25.6,0.0,5,0,Low
Azemmour,2026-09-18,2,24.9,18.2,19.5,35.6,0.0,0,0,Low
Azemmour,2026-09-19,2,27.2,19.6,16.6,31.0,0.0,0,0,Low
Azemmour,2026-09-20,45,27.4,20.7,13.0,24.1,0.0,0,0,Low
Azemmour,2026-09-21,45,28.4,20.9,12.0,23.8,0.0,0,0,Low
Azemmour,2026-09-22,45,27.1,20.2,13.1,24.5,0.0,0,0,Low
Azemmour,2026-09-23,45,28.5,20.0,13.4,26.6,0.0,0,0,Low
Azemmour,2026-09-24,45,27.9,20.0,12.4,25.6,0.0,0,0,Low
El Hajeb,2026-09-18,3,27.7,15.5,16.9,36.7,0.0,0,0,Low
El Hajeb,2026-09-19,2,31.3,17.8,16.9,36.4,0.0,10,15,Low
El Hajeb,2026-09-20,3,32.7,20.9,20.2,42.8,0.0,3,0,Low
El Hajeb,2026-09-21,1,32.3,21.4,22.7,47.2,0.0,0,0,Low
El Hajeb,2026-09-22,0,31.8,20.3,18.9,40.0,0.0,3,0,Low
El Hajeb,2026-09-23,0,32.1,18.7,15.5,29.9,0.0,3,0,Low
El Hajeb,2026-09-24,3,33.1,19.8,18.3,37.8,0.0,0,0,Low
Jerada,2026-09-18,3,27.9,15.4,25.8,54.0,0.0,8,0,Low
Jerada,2026-09-19,80,27.7,17.4,21.6,49.3,1.9,63,15,Low
Jerada,2026-09-20,3,29.5,17.8,21.2,43.9,0.2,3,0,Low
Jerada,2026-09-21,2,26.7,17.1,22.3,50.8,0.0,5,0,Low
Jerada,2026-09-22,0,28.2,13.2,15.7,26.3,0.0,3,0,Low
Jerada,2026-09-23,2,29.3,16.2,20.2,35.3,0.0,3,0,Low
Jerada,2026-09-24,1,30.2,16.6,16.6,27.7,0.0,3,0,Low
El Aïoun,2026-09-18,45,29.5,15.2,21.4,37.1,0.0,3,0,Low
El Aïoun,2026-09-19,80,30.4,19.7,21.6,39.2,0.7000000000000001,18,15,Low
El Aïoun,2026-09-20,45,31.1,19.0,19.8,33.5,0.0,5,0,Low
El Aïoun,2026-09-21,3,28.5,19.0,17.1,29.5,0.0,0,0,Low
El Aïoun,2026-09-22,45,29.9,13.3,11.7,23.0,0.0,0,0,Low
El Aïoun,2026-09-23,1,30.8,16.7,19.2,34.2,0.0,0,0,Low
El Aïoun,2026-09-24,0,31.8,16.7,16.7,29.5,0.0,0,0,Low
Tameslouht,2026-09-18,3,31.7,17.7,10.5,19.4,0.0,0,0,Low
Tameslouht,2026-09-19,3,35.4,20.8,13.5,23.4,0.2,15,35,Medium
Tameslouht,2026-09-20,80,36.1,23.1,17.6,29.9,0.8,33,35,Medium
Tameslouht,2026-09-21,2,37.2,22.8,22.5,36.7,0.0,7,20,Low
Tameslouht,2026-09-22,2,37.2,23.7,16.9,30.6,0.0,3,20,Low
Tameslouht,2026-09-23,0,36.1,21.1,14.5,25.9,0.0,3,20,Low
Tameslouht,2026-09-24,1,35.7,22.1,21.5,35.6,0.0,7,20,Low
Sidi Yahia El Gharb,2026-09-18,45,29.3,15.8,18.0,33.1,0.0,0,0,Low
Sidi Yahia El Gharb,2026-09-19,45,35.3,17.2,18.6,34.9,0.0,0,20,Low
Sidi Yahia El Gharb,2026-09-20,1,38.4,22.4,19.2,34.6,0.0,0,20,Low
Sidi Yahia El Gharb,2026-09-21,1,36.9,20.7,12.6,27.4,0.0,0,20,Low
Sidi Yahia El Gharb,2026-09-22,0,34.0,19.2,14.5,28.0,0.0,0,0,Low
Sidi Yahia El Gharb,2026-09-23,1,37.8,18.9,13.2,33.1,0.0,0,20,Low
Sidi Yahia El Gharb,2026-09-24,3,34.9,18.3,16.8,32.4,0.0,0,0,Low
Chichaoua,2026-09-18,2,31.7,17.6,16.6,26.3,0.0,0,0,Low
Chichaoua,2026-09-19,2,34.7,20.2,19.9,32.4,0.0,0,0,Low
Chichaoua,2026-09-20,2,35.0,22.9,22.9,37.4,0.0,0,20,Low
Chichaoua,2026-09-21,1,38.0,22.3,21.4,40.7,0.0,5,20,Low
Chichaoua,2026-09-22,0,38.4,20.8,21.9,40.8,0.0,1,20,Low
Chichaoua,2026-09-23,1,35.7,19.4,16.8,28.4,0.0,0,20,Low
Chichaoua,2026-09-24,3,35.2,21.8,20.1,33.5,0.0,9,20,Low
Al ’Attawia,2026-09-18,3,30.8,17.2,12.5,23.8,0.0,0,0,Low
Al ’Attawia,2026-09-19,3,35.1,20.0,13.9,26.6,0.2,5,20,Low
Al ’Attawia,2026-09-20,3,36.3,22.3,15.6,28.4,0.30000000000000004,18,35,Medium
Al ’Attawia,2026-09-21,3,36.1,21.3,18.1,33.5,0.0,5,20,Low
Al ’Attawia,2026-09-22,3,36.1,20.9,14.5,27.0,0.0,2,20,Low
Al ’Attawia,2026-09-23,0,36.1,17.0,13.2,25.9,0.0,3,20,Low
Al ’Attawia,2026-09-24,2,35.9,17.2,15.3,28.1,0.0,9,20,Low
Tabount,2026-09-18,3,32.3,18.2,10.1,22.3,0.0,5,0,Low
Tabount,2026-09-19,3,31.4,21.0,19.8,34.9,0.0,13,15,Low
Tabount,2026-09-20,3,32.5,20.1,22.5,38.2,0.0,10,15,Low
Tabount,2026-09-21,3,33.3,20.6,23.9,42.5,0.0,20,15,Low
Tabount,2026-09-22,1,34.3,19.7,30.4,51.1,0.0,5,15,Low
Tabount,2026-09-23,1,32.3,16.7,11.4,20.5,0.0,5,0,Low
Tabount,2026-09-24,2,32.9,18.2,21.1,34.6,0.0,7,0,Low
Zaïo,2026-09-18,45,27.7,18.9,20.5,46.1,0.0,0,0,Low
Zaïo,2026-09-19,3,28.7,20.8,21.7,47.9,0.1,5,0,Low
Zaïo,2026-09-20,45,29.6,21.7,21.0,51.1,0.0,0,0,Low
Zaïo,2026-09-21,3,27.9,20.5,21.6,40.0,0.0,3,0,Low
Zaïo,2026-09-22,45,29.1,17.3,10.1,23.0,0.0,0,0,Low
Zaïo,2026-09-23,45,28.9,17.6,17.1,34.9,0.0,0,0,Low
Zaïo,2026-09-24,45,29.0,16.9,14.2,32.0,0.0,0,0,Low
Aguelmous,2026-09-18,3,30.3,14.6,20.0,46.1,0.0,0,0,Low
Aguelmous,2026-09-19,3,31.7,18.3,21.2,43.2,0.1,10,15,Low
Aguelmous,2026-09-20,3,32.7,20.2,23.5,49.7,0.1,5,0,Low
Aguelmous,2026-09-21,2,31.9,19.8,20.2,44.6,0.0,13,15,Low
Aguelmous,2026-09-22,2,31.5,19.2,16.9,34.4,0.0,3,0,Low
Aguelmous,2026-09-23,1,33.0,16.8,15.9,36.0,0.0,3,0,Low
Aguelmous,2026-09-24,2,33.1,18.6,16.6,36.7,0.0,3,0,Low
Asilah,2026-09-18,2,28.5,16.0,27.2,49.7,0.0,0,0,Low
Asilah,2026-09-19,1,29.4,23.1,34.0,63.0,0.0,0,15,Low
Asilah,2026-09-20,1,30.9,24.4,25.3,46.4,0.0,0,0,Low
Asilah,2026-09-21,0,31.1,23.8,22.2,41.0,0.0,0,0,Low
Asilah,2026-09-22,0,31.2,22.0,11.8,26.6,0.0,0,0,Low
Asilah,2026-09-23,0,36.1,19.7,14.9,32.8,0.0,3,20,Low
Asilah,2026-09-24,3,36.4,22.9,14.3,28.8,0.0,3,20,Low
Imzouren,2026-09-18,3,26.9,18.2,17.7,32.4,0.0,0,0,Low
Imzouren,2026-09-19,3,29.4,20.0,24.0,44.3,0.0,0,0,Low
Imzouren,2026-09-20,2,29.0,22.1,19.9,36.0,0.0,0,0,Low
Imzouren,2026-09-21,2,29.3,20.3,17.6,31.7,0.0,0,0,Low
Imzouren,2026-09-22,0,28.0,18.0,13.0,26.3,0.0,0,0,Low
Imzouren,2026-09-23,1,30.4,18.8,12.4,24.1,0.0,0,0,Low
Imzouren,2026-09-24,3,31.0,18.6,12.3,23.8,0.0,0,0,Low
Mediouna,2026-09-18,3,27.3,16.5,19.1,34.6,0.0,0,0,Low
Mediouna,2026-09-19,45,30.8,17.0,17.0,31.0,0.0,0,0,Low
Mediouna,2026-09-20,2,34.2,21.6,17.2,31.3,0.0,0,0,Low
Mediouna,2026-09-21,45,34.4,20.3,17.8,32.0,0.0,0,0,Low
Mediouna,2026-09-22,1,34.2,19.7,15.3,27.7,0.0,0,0,Low
Mediouna,2026-09-23,3,29.3,18.5,12.3,32.0,0.0,0,0,Low
Mediouna,2026-09-24,3,29.2,18.1,11.8,31.7,0.0,0,0,Low
Demnat,2026-09-18,3,28.5,14.9,12.1,23.8,0.0,0,0,Low
Demnat,2026-09-19,3,32.2,18.9,14.6,30.6,0.0,13,15,Low
Demnat,2026-09-20,3,33.2,22.8,18.7,36.7,0.0,30,15,Low
Demnat,2026-09-21,3,32.1,20.4,16.4,34.2,0.30000000000000004,4,0,Low
Demnat,2026-09-22,2,32.7,20.9,15.3,29.9,0.0,4,0,Low
Demnat,2026-09-23,3,33.8,15.8,15.7,30.2,0.0,5,0,Low
Demnat,2026-09-24,1,33.4,16.4,17.1,32.8,0.0,9,0,Low
Aïn Taoujdat,2026-09-18,3,30.3,16.6,15.1,29.2,0.0,0,0,Low
Aïn Taoujdat,2026-09-19,2,33.8,18.6,17.1,33.1,0.0,3,0,Low
Aïn Taoujdat,2026-09-20,2,35.8,20.2,16.3,31.7,0.0,0,20,Low
Aïn Taoujdat,2026-09-21,2,34.9,20.4,15.5,30.6,0.0,0,0,Low
Aïn Taoujdat,2026-09-22,0,34.3,20.0,14.0,27.0,0.0,3,0,Low
Aïn Taoujdat,2026-09-23,0,35.2,17.7,12.3,23.4,0.0,3,20,Low
Aïn Taoujdat,2026-09-24,3,35.9,19.4,16.2,30.2,0.0,0,20,Low
Sidi Smai’il,2026-09-18,3,28.5,17.4,19.5,34.2,0.0,0,0,Low
Sidi Smai’il,2026-09-19,3,32.0,17.8,16.6,29.5,0.0,0,0,Low
Sidi Smai’il,2026-09-20,3,32.1,20.9,14.9,27.0,0.0,0,0,Low
Sidi Smai’il,2026-09-21,45,34.4,19.5,13.0,24.1,0.0,0,0,Low
Sidi Smai’il,2026-09-22,45,34.8,18.6,15.5,28.3,0.0,0,0,Low
Sidi Smai’il,2026-09-23,45,31.7,19.1,17.9,33.1,0.0,0,0,Low
Sidi Smai’il,2026-09-24,45,31.0,18.2,16.1,29.9,0.0,3,0,Low
Moulay Bousselham,2026-09-18,45,24.8,14.7,18.7,31.0,0.0,0,0,Low
Moulay Bousselham,2026-09-19,45,29.4,18.1,16.8,28.4,0.0,0,0,Low
Moulay Bousselham,2026-09-20,1,33.7,21.3,17.0,28.8,0.0,0,0,Low
Moulay Bousselham,2026-09-21,0,31.7,20.5,15.8,28.1,0.0,0,0,Low
Moulay Bousselham,2026-09-22,0,30.3,19.2,16.0,28.1,0.0,0,0,Low
Moulay Bousselham,2026-09-23,0,34.6,17.2,18.4,33.1,0.0,0,0,Low
Moulay Bousselham,2026-09-24,3,33.4,20.0,16.3,30.2,0.0,0,0,Low
Mechraa Bel Ksiri,2026-09-18,45,31.5,14.9,17.3,32.4,0.0,0,0,Low
Mechraa Bel Ksiri,2026-09-19,45,36.6,18.5,15.8,29.5,0.0,0,20,Low
Mechraa Bel Ksiri,2026-09-20,1,38.4,24.9,21.5,39.2,0.0,0,20,Low
Mechraa Bel Ksiri,2026-09-21,0,37.9,25.1,16.6,31.7,0.0,0,20,Low
Mechraa Bel Ksiri,2026-09-22,0,36.8,21.3,13.0,29.3,0.0,0,20,Low
Mechraa Bel Ksiri,2026-09-23,0,38.3,22.7,15.5,29.2,0.0,0,20,Low
Mechraa Bel Ksiri,2026-09-24,3,36.7,20.5,17.3,32.4,0.0,0,20,Low
Souk et Tnine Jorf el Mellah,2026-09-18,45,32.5,16.1,11.1,20.5,0.0,0,0,Low
Souk et Tnine Jorf el Mellah,2026-09-19,1,36.9,20.4,22.8,41.4,0.0,0,20,Low
Souk et Tnine Jorf el Mellah,2026-09-20,1,38.2,25.0,21.0,39.6,0.0,0,20,Low
Souk et Tnine Jorf el Mellah,2026-09-21,0,37.4,25.1,14.9,30.2,0.0,0,20,Low
Souk et Tnine Jorf el Mellah,2026-09-22,0,36.8,23.4,14.0,26.6,0.0,0,20,Low
Souk et Tnine Jorf el Mellah,2026-09-23,0,38.6,21.8,14.2,26.6,0.0,0,20,Low
Souk et Tnine Jorf el Mellah,2026-09-24,3,38.4,21.2,13.6,27.4,0.0,0,20,Low
Zeghanghane,2026-09-18,3,26.3,19.2,21.8,41.4,0.0,3,0,Low
Zeghanghane,2026-09-19,3,26.5,22.2,27.9,50.4,1.3,23,15,Low
Zeghanghane,2026-09-20,3,26.8,23.2,28.0,52.6,0.9,15,15,Low
Zeghanghane,2026-09-21,3,26.5,21.4,21.4,43.2,0.0,5,0,Low
Zeghanghane,2026-09-22,45,27.5,17.6,13.4,27.0,0.0,0,0,Low
Zeghanghane,2026-09-23,45,27.1,17.6,19.3,36.0,0.0,3,0,Low
Zeghanghane,2026-09-24,45,27.4,17.0,16.2,29.9,0.0,3,0,Low
Oulad Barhil,2026-09-18,3,30.1,18.2,27.1,49.0,0.0,0,0,Low
Oulad Barhil,2026-09-19,2,35.7,19.9,27.7,51.5,0.0,3,20,Low
Oulad Barhil,2026-09-20,2,37.9,20.7,28.6,55.4,0.0,3,20,Low
Oulad Barhil,2026-09-21,2,39.1,21.3,28.3,54.4,0.0,0,20,Low
Oulad Barhil,2026-09-22,1,39.1,21.2,21.0,43.2,0.0,3,20,Low
Oulad Barhil,2026-09-23,3,38.8,17.5,21.2,43.9,0.0,3,20,Low
Oulad Barhil,2026-09-24,3,37.2,19.6,34.1,63.7,0.0,5,35,Medium
Bir Jdid,2026-09-18,2,24.8,17.6,18.8,36.4,0.0,0,0,Low
Bir Jdid,2026-09-19,45,27.7,18.6,16.6,32.8,0.0,0,0,Low
Bir Jdid,2026-09-20,45,30.1,21.3,14.8,29.9,0.0,0,0,Low
Bir Jdid,2026-09-21,45,29.7,20.5,13.7,29.5,0.0,0,0,Low
Bir Jdid,2026-09-22,45,29.5,19.5,14.4,28.8,0.0,0,0,Low
Bir Jdid,2026-09-23,45,29.8,19.0,15.8,30.6,0.0,3,0,Low
Bir Jdid,2026-09-24,45,29.4,17.8,15.5,30.6,0.0,0,0,Low
Bou Arfa,2026-09-18,3,29.8,17.9,18.9,28.4,0.6000000000000001,23,15,Low
Bou Arfa,2026-09-19,95,27.1,18.5,22.8,36.0,1.4,50,15,Low
Bou Arfa,2026-09-20,80,28.2,17.1,22.4,34.9,0.7000000000000001,23,15,Low
Bou Arfa,2026-09-21,2,28.6,16.5,21.5,32.8,0.0,20,15,Low
Bou Arfa,2026-09-22,1,27.3,15.7,16.3,32.4,0.0,9,0,Low
Bou Arfa,2026-09-23,1,28.5,15.8,13.2,20.9,0.0,10,15,Low
Bou Arfa,2026-09-24,1,29.2,15.2,8.7,17.6,0.0,5,0,Low
Tahannawt,2026-09-18,3,28.2,14.9,13.1,26.6,0.0,0,0,Low
Tahannawt,2026-09-19,80,32.6,18.4,13.9,27.4,0.2,20,15,Low
Tahannawt,2026-09-20,3,33.2,21.3,14.5,28.4,0.0,35,15,Low
Tahannawt,2026-09-21,2,33.9,20.9,19.0,35.6,0.0,5,0,Low
Tahannawt,2026-09-22,0,34.0,22.3,15.6,30.6,0.0,3,0,Low
Tahannawt,2026-09-23,0,33.6,16.7,15.4,27.4,0.0,5,0,Low
Tahannawt,2026-09-24,1,33.3,18.7,16.9,30.6,0.0,13,15,Low
Arfoud,2026-09-18,3,34.4,20.4,15.1,27.4,0.0,18,15,Low
Arfoud,2026-09-19,3,33.1,22.5,22.4,52.2,0.2,25,15,Low
Arfoud,2026-09-20,3,33.0,21.9,11.1,25.9,0.1,16,15,Low
Arfoud,2026-09-21,2,34.9,21.9,15.0,26.3,0.0,30,15,Low
Arfoud,2026-09-22,2,34.0,21.2,16.0,25.6,0.0,17,15,Low
Arfoud,2026-09-23,1,32.2,20.8,8.9,15.8,0.0,18,15,Low
Arfoud,2026-09-24,2,32.9,21.1,10.4,18.4,0.0,8,0,Low
Tahla,2026-09-18,3,31.2,16.1,16.3,31.0,0.0,0,0,Low
Tahla,2026-09-19,3,32.4,20.8,23.5,45.7,0.2,5,0,Low
Tahla,2026-09-20,1,34.0,21.5,20.6,41.4,0.0,0,0,Low
Tahla,2026-09-21,0,33.3,20.5,15.9,32.0,0.0,0,0,Low
Tahla,2026-09-22,0,33.3,18.9,10.2,22.3,0.0,0,0,Low
Tahla,2026-09-23,0,34.4,19.3,19.5,41.8,0.0,0,0,Low
Tahla,2026-09-24,3,34.5,22.6,15.1,28.4,0.0,0,0,Low
Missour,2026-09-18,3,30.9,15.7,30.6,48.6,0.0,25,30,Medium
Missour,2026-09-19,80,29.6,17.6,16.7,40.3,0.4,68,15,Low
Missour,2026-09-20,3,31.9,17.0,22.5,42.1,0.0,11,15,Low
Missour,2026-09-21,2,30.3,18.0,25.3,39.6,0.0,4,0,Low
Missour,2026-09-22,1,30.2,16.2,18.2,31.0,0.0,9,0,Low
Missour,2026-09-23,1,31.3,15.8,14.6,24.1,0.0,10,15,Low
Missour,2026-09-24,1,33.4,17.5,17.9,27.7,0.0,0,0,Low
Sidi Lmokhtar,2026-09-18,1,31.6,17.0,18.2,31.7,0.0,0,0,Low
Sidi Lmokhtar,2026-09-19,2,33.6,19.8,16.1,27.4,0.0,0,0,Low
Sidi Lmokhtar,2026-09-20,2,34.1,22.6,18.5,31.0,0.0,0,0,Low
Sidi Lmokhtar,2026-09-21,2,37.4,21.7,17.7,34.6,0.0,0,20,Low
Sidi Lmokhtar,2026-09-22,0,38.4,21.1,19.0,33.8,0.0,2,20,Low
Sidi Lmokhtar,2026-09-23,2,34.0,17.8,18.1,31.3,0.0,0,0,Low
Sidi Lmokhtar,2026-09-24,2,33.3,19.5,22.0,36.4,0.0,4,0,Low
Douar Toulal,2026-09-18,3,30.0,16.3,15.3,35.6,0.0,0,0,Low
Douar Toulal,2026-09-19,2,34.6,19.0,12.6,28.8,0.0,3,0,Low
Douar Toulal,2026-09-20,2,36.5,21.8,14.6,36.4,0.0,0,20,Low
Douar Toulal,2026-09-21,1,35.8,20.9,15.0,36.0,0.0,0,20,Low
Douar Toulal,2026-09-22,0,34.6,19.7,14.5,33.1,0.0,3,0,Low
Douar Toulal,2026-09-23,0,35.2,19.6,13.7,25.9,0.0,3,20,Low
Douar Toulal,2026-09-24,3,35.4,20.2,16.8,31.7,0.0,0,20,Low
Oulad Yaïch,2026-09-18,3,34.2,18.6,8.8,15.8,0.0,0,0,Low
Oulad Yaïch,2026-09-19,3,37.6,21.5,10.7,20.9,0.0,0,20,Low
Oulad Yaïch,2026-09-20,3,38.6,26.2,24.4,47.9,0.0,8,20,Low
Oulad Yaïch,2026-09-21,2,37.7,23.7,10.2,27.7,0.30000000000000004,4,20,Low
Oulad Yaïch,2026-09-22,1,37.0,23.1,12.0,26.3,0.0,3,20,Low
Oulad Yaïch,2026-09-23,0,37.1,25.3,16.5,31.3,0.0,3,20,Low
Oulad Yaïch,2026-09-24,2,37.3,26.4,19.5,36.4,0.0,3,20,Low
Zawyat ech Cheïkh,2026-09-18,3,32.7,15.7,11.1,20.9,0.0,0,0,Low
Zawyat ech Cheïkh,2026-09-19,3,35.3,19.0,13.7,27.0,0.0,3,20,Low
Zawyat ech Cheïkh,2026-09-20,3,37.0,20.5,16.9,37.4,0.0,5,20,Low
Zawyat ech Cheïkh,2026-09-21,2,35.6,18.8,18.8,38.2,0.0,3,20,Low
Zawyat ech Cheïkh,2026-09-22,2,34.4,18.5,14.1,25.2,0.0,3,0,Low
Zawyat ech Cheïkh,2026-09-23,0,35.9,18.6,11.1,20.9,0.0,3,20,Low
Zawyat ech Cheïkh,2026-09-24,3,36.2,19.3,15.3,27.4,0.0,3,20,Low
Imi-n-Tanout,2026-09-18,2,27.4,16.1,16.4,28.1,0.0,0,0,Low
Imi-n-Tanout,2026-09-19,3,31.2,19.9,18.9,33.1,0.0,5,0,Low
Imi-n-Tanout,2026-09-20,3,31.5,22.8,17.6,32.0,0.1,35,15,Low
Imi-n-Tanout,2026-09-21,2,34.7,23.6,20.0,40.0,0.0,13,15,Low
Imi-n-Tanout,2026-09-22,0,34.2,22.1,20.4,39.7,0.0,3,0,Low
Imi-n-Tanout,2026-09-23,3,32.7,21.0,17.1,28.8,0.0,3,0,Low
Imi-n-Tanout,2026-09-24,3,33.3,22.3,21.1,37.1,0.0,7,0,Low
Sebt Gzoula,2026-09-18,1,30.2,17.6,18.4,36.0,0.0,0,0,Low
Sebt Gzoula,2026-09-19,2,32.7,18.4,14.8,28.8,0.0,0,0,Low
Sebt Gzoula,2026-09-20,2,30.7,20.9,16.6,32.0,0.0,0,0,Low
Sebt Gzoula,2026-09-21,2,34.6,21.2,10.9,21.2,0.0,0,0,Low
Sebt Gzoula,2026-09-22,45,36.5,19.7,17.6,33.5,0.0,0,20,Low
Sebt Gzoula,2026-09-23,45,30.5,19.3,13.0,24.1,0.0,0,0,Low
Sebt Gzoula,2026-09-24,45,27.7,17.8,14.2,27.0,0.0,3,0,Low
Tifariti,2026-09-18,3,29.3,16.3,35.2,53.6,0.0,0,15,Low
Tifariti,2026-09-19,3,30.8,16.2,24.7,36.7,0.0,0,0,Low
Tifariti,2026-09-20,0,37.0,18.6,12.8,22.7,0.0,0,20,Low
Tifariti,2026-09-21,3,38.7,24.9,16.8,34.6,0.0,6,20,Low
Tifariti,2026-09-22,3,38.9,25.8,15.5,32.4,0.0,4,20,Low
Tifariti,2026-09-23,3,39.1,26.0,22.5,46.4,0.0,3,20,Low
Tifariti,2026-09-24,3,37.6,28.1,24.8,43.2,0.0,4,20,Low
